w,f,pot_f,range uns,range sig-,range sig+,,dec,,,,,
16,0,1,65535.0000000000,-32768.0000000000,32767.0000000000,65535,1,,,,,
15,1,2,32767.5000000000,-16383.8000000000,16383.3000000000,65535,0.5,,,,,
14,2,4,16383.7500000000,-8191.8800000000,8191.6300000000,65535,0.25,,,,,
13,3,8,8191.8750000000,-4095.9380000000,4095.8130000000,65535,0.125,,,,,
12,4,16,4095.9375000000,-2047.9688000000,2047.9063000000,65535,0.0625,,,,,
11,5,32,2047.9687500000,-1023.9843800000,1023.9531300000,65535,0.03125,,,,,
10,6,64,1023.9843750000,-511.9921880000,511.9765630000,65535,0.015625,,,,,
9,7,128,511.9921875000,-255.9960938000,255.9882813000,65535,0.0078125,,,,,
8,8,256,255.9960937500,-127.9980468800,127.9941406300,65535,0.00390625,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
