id_address;modbus_address;dsp_family;type;decimal;single_steps;val_actual;val_default;val_min;val_max;description;id_name;n_byte_name;n_word;dsp_name
0;0;CTRL_INPUT;uint16_t;0;1;0;0;0;65535;bit significant;ID_SDO_00;ID_SDO_00_BYTE;1;cmd_wd_1
1;1;CTRL_INPUT;uint16_t;0;1;500;500;100;15000;durata fase init [ms];ID_SDO_01;ID_SDO_01_BYTE;1;init_cnt_end
2;2;CTRL_INPUT;uint16_t;0;1;1000;1000;100;15000;durata fase misura frequenza [ms];ID_SDO_02;ID_SDO_02_BYTE;1;scr_synch_estim_cnt_end
3;3;SCR_SETTINGS;uint16_t;0;1;0;0;0;1;abilita settaggio manuale apertura scr [0/1];ID_SDO_03;ID_SDO_03_BYTE;1;en_manual_alfa
4;4;SCR_SETTINGS;float;2;0.01;1.00;1.00;0.00;1.00;valore settaggio manuale apertura scr [0..1];ID_SDO_04;ID_SDO_04_BYTE;2;scr_cmd_alfa_set
5;6;SCR_SETTINGS;float;2;0.01;10;10;10;1500;valore apertura scr durante il check a 50Hz;ID_SDO_05;ID_SDO_05_BYTE;2;scr_cmd_alfa_check_50hz
6;8;SCR_SETTINGS;float;2;0.01;10;10;10;1500;valore apertura scr durante il check a 60Hz;ID_SDO_06;ID_SDO_06_BYTE;2;scr_cmd_alfa_check_60hz
7;10;SCR_SETTINGS;uint16_t;0;1;2000;2000;0;50000;durata apertura scr ridotta per check [ms];ID_SDO_07;ID_SDO_07_BYTE;1;freeze_scr_ramp_cnt_end
8;11;SCR_SETTINGS;float;2;0.01;0.00;0.00;0.00;1.00;velocità rampa scr [0..1/s];ID_SDO_08;ID_SDO_08_BYTE;2;scr_cmd_alfa_increment
9;13;IGBT_SETTINGS;float;2;0.01;0.00;0.00;20.00;25.00;frequenza principale igbt [Hz];ID_SDO_09;ID_SDO_09_BYTE;2;igbt_main_freq
10;15;IGBT_SETTINGS;float;2;0.01;2000.00;2000.00;0.00;5000.00;range modulante sinusoidale sweep igbt [Hz];ID_SDO_10;ID_SDO_10_BYTE;2;sweep_amplitude
11;17;IGBT_SETTINGS;float;2;0.01;1.00;1.00;0.00;10.00;frequenza modulante sinusoidale sweep igbt [Hz];ID_SDO_11;ID_SDO_11_BYTE;2;sweep_freq
12;19;IGBT_SETTINGS;uint16_t;0;1;0.00;0.00;0.00;1.00;abilita sweep igbt;ID_SDO_23;ID_SDO_23_BYTE;1;en_sweep
13;20;ADC_SETTINGS;float;2;0.01;1.00;1.00;0.00;1000.00;adattamento adc v_inv_rect_gain [V];ID_SDO_12;ID_SDO_12_BYTE;2;adc.adc_ctrl_fdb_rect.v_inv_rect_gain
14;22;ADC_SETTINGS;float;2;0.01;0.00;0.00;-500.00;500.00;adattamento adc v_inv_rect_offset [V];ID_SDO_13;ID_SDO_13_BYTE;2;adc.adc_ctrl_fdb_rect.v_inv_rect_offset
15;24;ADC_SETTINGS;float;2;0.01;1.00;1.00;0.00;1000.00;adattamento adc i_inv_rect_gain [A];ID_SDO_14;ID_SDO_14_BYTE;2;adc.adc_ctrl_fdb_rect.i_inv_rect_gain
16;26;ADC_SETTINGS;float;2;0.01;0.00;0.00;-500.00;500.00;adattamento adc i_inv_rect_offset [A];ID_SDO_15;ID_SDO_15_BYTE;2;adc.adc_ctrl_fdb_rect.i_inv_rect_offset
17;28;ADC_SETTINGS;float;2;0.01;1.00;1.00;0.00;1000.00;adattamento adc ntc1_gain [cels];ID_SDO_16;ID_SDO_16_BYTE;2;adc.adc_sys.ntc1_gain
18;30;ADC_SETTINGS;float;2;0.01;0.00;0.00;-500.00;500.00;adattamento adc ntc1_offset [cels];ID_SDO_17;ID_SDO_17_BYTE;2;adc.adc_sys.ntc1_offset
19;32;ADC_SETTINGS;float;2;0.01;1.00;1.00;0.00;1000.00;adattamento adc ntc2_gain [cels];ID_SDO_18;ID_SDO_18_BYTE;2;adc.adc_sys.ntc2_gain
20;34;ADC_SETTINGS;float;2;0.01;0.00;0.00;-500.00;500.00;adattamento adc ntc2_offset [cels];ID_SDO_19;ID_SDO_19_BYTE;2;adc.adc_sys.ntc2_offset
21;36;ADC_SETTINGS;float;2;0.01;1.00;1.00;0.00;1000.00;adattamento adc pot_gain [pu];ID_SDO_20;ID_SDO_20_BYTE;2;adc.adc_sys.pot_gain
22;38;ADC_SETTINGS;float;2;0.01;0.00;0.00;-500.00;500.00;adattamento adc pot_offset [pu];ID_SDO_21;ID_SDO_21_BYTE;2;adc.adc_sys.pot_offset
23;40;PROTECTION;float;2;0.01;1.00;1.00;0.00;10.00;valore di scatto sovracorrente AC [A];ID_SDO_22;ID_SDO_22_BYTE;2;i_inv_oc
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
